episode,arm,cell,policy,verdict,operator_placed,op_force_flag,class,grasp_success,haptic_success,under_grasp,over_grasp,crush,n_closes,close_src,t_first_close_s,z_first_close_mm,h_first_close_mm,t_grasp_close_s,z_grasp_close_mm,contact_a_evidence,pad_peak_after_close_n,pad_peak_n,pad_peak_min_n,pad_peak_take_n,pad_peak_take_min_n,pad_peak_pinch_n,area_peak_after_close,hold_s,lift_mm,drop,released,z_release_mm,y_release_m,ctrl_releases,obj2_frac_hold,obj2_frac_after_close,stop_reason,n_replans,agree,disagreement,notes,rule_grasp_ok
ep_student_egg_1789509287_000,pi05,101,student,f,False,False,contact_no_hold,True,False,True,False,False,2,"actions[:,6] (command)",10.99,108.2,58.7,,,area 0.6,2.35,0.0,0.0,2.35,0.05,0.0,0.6,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,83,True,,operator: f,
ep_student_egg_1789509343_001,pi05,102,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.3,0.06,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,23,True,,operator: f,
ep_student_egg_1789509375_002,pi05,103,student,f,False,False,closed_on_air,False,False,False,False,False,1,"actions[:,6] (command)",17.82,82.0,32.5,,,,1.23,0.0,0.0,1.23,0.04,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,37,True,,operator: f,
ep_student_egg_1789509412_003,pi05,104,student,f,False,False,closed_on_air,False,False,False,False,False,2,"actions[:,6] (command)",9.7,105.0,55.5,,,,1.45,0.0,0.0,1.45,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,35,True,,operator: f,
ep_student_egg_1789509444_004,pi05,105,student,f,False,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",12.7,53.9,4.4,,,"load 20.9N, area 30.3",20.85,0.0,0.0,20.85,0.67,0.0,30.3,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,27,True,,operator: f,
ep_student_egg_1789509490_005,pi05,106,student,f,False,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",17.27,133.5,84.0,,,area 0.4,1.18,0.0,0.0,1.18,0.05,0.0,0.4,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,37,True,,operator: f,
ep_student_egg_1789509527_006,pi05,107,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.2,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,14,True,,operator: f,
ep_student_egg_1789509549_007,pi05,108,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,0.96,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,13,True,,operator: f,
ep_student_egg_1789509615_008,pi05,109,student,f,False,False,closed_on_air,False,False,False,False,False,1,"actions[:,6] (command)",10.19,71.9,22.4,,,,0.75,0.0,0.0,0.92,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,22,True,,operator: f,
ep_student_egg_1789509647_009,pi05,110,student,f,False,False,contact_no_hold,True,False,True,False,False,1,"actions[:,6] (command)",13.41,87.5,38.0,,,load 3.5N,3.49,0.0,0.0,3.92,0.07,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,42,True,,operator: f,
ep_student_egg_1789509718_000,dp,101,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.53,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,27,True,,operator: f,
ep_student_egg_1789509747_001,dp,102,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.16,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,25,True,,operator: f,
ep_student_egg_1789509885_002,dp,103,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.66,0.06,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,43,True,,operator: f,
ep_student_egg_1789509931_003,dp,104,student,crushed,True,True,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",40.49,51.3,1.8,40.49,51.3,"load 30.1N, area 57.7",30.07,30.07,22.8,30.07,22.8,30.07,57.7,20.2,228.1,False,True,67.7,-0.0494,0,0.189,0.0,safety_stop,125,False,"operator placed it crushed, sensors say placed_clean; operator flagged excessive force, pinch peak only 30.1 N","operator: c - egg cracked by impact against the crate on placement, not by pinch",
ep_student_egg_1789510054_004,dp,105,student,crushed,True,True,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",23.02,49.5,-0.0,23.02,49.5,"load 29.1N, area 33.9",29.07,29.07,28.92,31.18,29.07,29.07,33.9,14.6,258.5,False,True,74.7,-0.0499,0,0.732,0.017,safety_stop,75,False,"operator placed it crushed, sensors say placed_clean; operator flagged excessive force, pinch peak only 29.1 N","operator: c - egg cracked by impact against the crate on placement, not by pinch",
ep_student_egg_1789510149_005,dp,106,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",26.33,55.8,6.3,27.53,58.7,"load 23.4N, area 46.3",23.4,23.4,20.89,23.4,20.89,23.4,46.3,30.25,233.2,False,True,69.4,-0.0407,0,0.485,0.0,safety_stop,176,True,,operator: s,
ep_student_egg_1789510297_006,dp,107,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.27,0.06,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,19,True,,operator: f,
ep_student_egg_1789510325_007,dp,108,student,s,True,False,placed_clean,True,True,False,False,False,3,"actions[:,6] (command)",40.63,49.5,-0.0,42.35,52.0,"load 25.8N, area 45.9",25.75,25.75,24.39,25.75,24.39,25.75,45.9,30.2,251.0,False,True,74.8,-0.0428,0,0.884,0.066,safety_stop,145,True,,operator: s,
ep_student_egg_1789510452_008,dp,109,student,f,False,False,contact_no_hold,True,False,True,False,False,3,"actions[:,6] (command)",24.9,54.2,4.7,,,"load 12.7N, area 17.0",12.65,0.0,0.0,12.65,4.52,12.65,17.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,56,True,,operator: f,
ep_student_egg_1789510517_009,dp,110,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,2.54,1.0,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,29,True,,operator: f,
