episode,arm,cell,policy,verdict,operator_placed,op_force_flag,class,grasp_success,haptic_success,under_grasp,over_grasp,crush,n_closes,close_src,t_first_close_s,z_first_close_mm,h_first_close_mm,t_grasp_close_s,z_grasp_close_mm,contact_a_evidence,pad_peak_after_close_n,pad_peak_n,pad_peak_min_n,pad_peak_take_n,pad_peak_take_min_n,pad_peak_pinch_n,area_peak_after_close,hold_s,lift_mm,drop,released,z_release_mm,y_release_m,ctrl_releases,obj2_frac_hold,obj2_frac_after_close,stop_reason,n_replans,agree,disagreement,notes,rule_grasp_ok
ep_student_Carton_1789493413_000,pi05,101,student,s,True,False,contact_no_hold,True,False,True,False,False,2,"actions[:,6] (command)",6.22,122.7,56.6,,,load 8.5N,8.47,0.0,0.0,8.47,4.17,8.34,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,38,False,"operator placed it, sensors say contact_no_hold",operator: s,
ep_student_Carton_1789493492_001,pi05,102,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",8.35,103.7,37.6,8.35,103.7,"load 29.0N, area 12.8",29.01,10.19,7.21,32.95,7.21,10.19,12.8,6.25,192.4,False,True,149.3,0.0167,1,0.0,0.0,operator_stop,52,True,,operator: s,
ep_student_Carton_1789493579_002,pi05,103,student,s,True,False,placed_clean,True,True,False,False,False,2,"actions[:,6] (command)",7.62,105.4,39.3,8.14,104.4,"load 14.5N, area 17.1",14.46,14.46,14.11,14.46,14.11,14.46,17.1,10.2,258.1,False,True,132.1,0.0369,1,0.557,0.0,operator_stop,47,True,,operator: s,
ep_student_Carton_1789493628_003,pi05,104,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.39,1.0,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,16,True,,operator: f,
ep_student_Carton_1789493661_004,pi05,105,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,50.89,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,16,True,,operator: f,
ep_student_Carton_1789493713_005,pi05,106,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.43,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,17,True,,operator: f,
ep_student_Carton_1789493741_006,pi05,107,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,0.98,0.05,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,14,True,,operator: f,
ep_student_Carton_1789493772_007,pi05,108,student,f,False,False,held_dropped,True,False,True,False,False,2,"actions[:,6] (command)",10.59,89.5,23.4,11.07,90.4,"load 17.0N, area 39.5, gOBJ2 0.63",16.97,16.97,15.24,16.97,15.24,16.97,39.5,6.6,229.4,True,True,296.3,-0.019,0,0.758,0.633,safety_stop,37,True,,operator: f,
ep_student_Carton_1789493825_008,pi05,109,student,f,False,False,contact_no_hold,True,False,True,False,False,2,"actions[:,6] (command)",7.55,79.3,13.2,,,"load 3.6N, area 1.7",3.64,0.0,0.0,3.64,1.23,0.0,1.7,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,25,True,,operator: f,
ep_student_Carton_1789493856_009,pi05,110,student,f,False,False,held_at_cut,True,False,False,True,True,1,"actions[:,6] (command)",7.94,103.4,37.3,7.94,103.4,"load 46.8N, area 24.4, gOBJ2 0.31",46.75,46.75,13.69,46.75,13.69,46.75,24.4,8.2,180.1,False,False,,,0,0.658,0.309,protective_stop,30,False,"pinch peak 46.8 N above the crush band, operator flagged nothing",operator: f,
ep_student_Carton_1789493940_001,pi05,111,student,f,False,False,closed_on_air,False,False,False,False,False,1,"actions[:,6] (command)",7.16,128.6,62.5,,,,2.14,0.0,0.0,3.06,2.46,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,21,True,,operator: f,
ep_student_Carton_1789493970_002,pi05,112,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,3.0,0.03,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,12,True,,operator: f,
ep_student_Carton_1789494043_003,pi05,113,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,2.5,0.03,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,20,True,,operator: f,
ep_student_Carton_1789494069_004,pi05,114,student,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",8.65,112.1,46.0,8.65,112.1,"load 22.0N, area 29.3, gOBJ2 0.38",22.04,22.04,14.64,22.04,14.64,22.04,29.3,11.1,202.1,False,True,118.0,0.0509,0,0.627,0.378,operator_stop,47,True,,operator: s,
ep_student_Carton_1789494122_005,pi05,115,student,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,1.8,0.04,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,control_lost,15,True,,operator: f,
ep_student_Carton_1789494178_007,pi05,116,student,crushed,True,True,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",10.18,113.2,47.1,10.18,113.2,"load 20.1N, area 50.2, gOBJ2 0.27",20.15,20.15,20.12,20.15,20.12,20.15,50.2,12.05,240.1,False,True,121.6,0.0229,0,0.674,0.272,safety_stop,46,False,"operator placed it crushed, sensors say placed_clean; operator flagged excessive force, pinch peak only 20.1 N","operator: c CRUSHED (placed, too much force)",
